juvenile;mother;treatment;mother_treatment_duration;hutch_date;incubation_time;svl;tail_length;head_height;head_width;head_length;body_mass;speed_age;max_sprint_speed;sprint_quality_race1;sprint_quality_race2;mass_in_climb;max_climb_speed;climb_quality_race1;climb_quality_race2;dispersal_age;dispersal_score;dispersal_setup;observations
1-fm4;fm4;provitamin;25;30-ago;36;27,66;42,38;3,48;4,87;7,12;0,536;8;0,687739488;4;3;;;;;;;;
1-fm5;fm5;vitamin;23;02-sep;33;25,03;35,66;2,98;4,48;6,72;0,411;11;;2;2;0,415;0,27410496;4;4;;;;
1-fm7;fm7;vitamin;23;04-sep;38;24,61;38,26;2,93;4,57;6,51;0,424;9;0,925399631;3;3;0,488;0,448195868;4;4;25;2;1;
1-fm8;fm8;provitamin;20;18-ago;37;26,37;40,58;3,79;4,29;7,6;0,533;20;0,890148724;3;2;0,657;0,277937436;3;4;42;4;2;
1-fm9;fm9;vitamin;23;31-ago;38;26,78;42,12;3,34;4,39;7,21;0,588;5;;1;2;0,739;0,610796286;4;2;29;4;4;
1-fm10;fm10;vitamin;20;23-ago;37;25,02;39,61;3,34;4,6;6,8;0,529;13;;1;2;0,766;0,358799995;4;4;37;10;8;
1-fm11;fm11;provitamin;19;29-ago;36;26,6;37,03;3,05;4,62;6,67;0,522;15;0,923044535;3;4;0,506;0,530943182;4;4;31;0;5;
1-fm12;fm12;provitamin;18;24-ago;37;26,62;39,83;3,4;4,79;7,35;0,517;14;0,770055954;2;3;;;;;;;;
1-fm13;fm13;provitamin;25;25-ago;36;25,43;42,77;3;4,55;7,28;0,485;19;0,395690289;4;2;;;;;;;;
1-fm14;fm14;provitamin;25;31-ago;37;26,35;39,03;3,33;4,83;6,89;0,516;13;0,935186343;2;5;0,589;0,340061794;4;4;29;6;4;
1-fm15;fm15;vitamin;25;01-sep;35;27,22;41,02;3,31;4,55;6,82;0,439;4;1,022196204;5;5;0,611;0,455140092;5;4;28;14;3;
1-fm16;fm16;provitamin;25;09-sep;36;26,65;40,5;3,23;4,22;7,61;0,484;4;0,959459904;3;3;0,493;0,393402585;4;4;20;0;1;
1-fm17;fm17;vitamin;25;28-ago;38;26,46;37,75;2,97;4,43;6,87;0,433;6;0,78728385;1;3;0,457;0,387819604;4;4;32;3;3;
1-fm19;fm19;Control;25;30-ago;41;26,11;40,17;3,77;4,32;6,68;0,489;4;0,995208362;5;5;0,529;0,395675392;4;4;30;8;8;
1-fm20;fm20;Control;19;17-ago;37;26,69;45,85;3,25;4,34;7,16;0,512;21;0,596125384;2;3;0,51;0,207933961;2;3;43;6;3;
1-fm21;fm21;Control;20;22-ago;36;26,45;46,42;3,29;4,43;7,44;0,549;22;0,92672677;5;5;0,705;0,351876423;4;3;38;4;6;
1-fm22;fm22;Control;25;29-ago;39;25,37;40,36;3,33;4,04;6,9;0,457;7;;1;2;;;2;2;31;3;8;
1-fm23;fm23;Control;25;30-ago;40;26,27;39,77;3,32;3,98;6,54;0,441;4;0,643223227;3;2;;0,211277899;3;;;;;
1-fm25;fm25;Control;20;25-ago;39;25,85;37,5;3,2;4,14;6,9;0,491;11;0,704894783;5;3;0,649;0,39738479;4;4;35;0;3;
1-fm27;fm27;Control;19;21-ago;35;25,83;40,78;3,33;4,4;7,46;0,496;19;;2;2;;0,395860549;3;;39;2;2;
1-fm28;fm28;Control;25;01-sep;35;26,24;40,79;3,13;4,79;6,8;0,534;5;0,745445695;4;3;;;2;2;28;0;2;
2-fm1;fm1;vitamin;25;02-sep;35;27,47;38,31;3,26;4,31;6,94;0,563;3;0,926654717;4;3;0,496;0,637676868;4;;27;10;3;
2-fm2;fm2;provitamin;25;06-sep;37;26,62;39,03;3,6;4,34;7,29;0,517;7;0,885276598;4;5;0,524;0,300621473;5;4;23;0;5;
2-fm3;fm3;vitamin;24;22-ago;36;26,66;39,87;3,56;4,22;7,51;0,525;21;0,627181399;3;3;;0,223152294;3;2;38;0;4;
2-fm4;fm4;provitamin;25;01-sep;38;27,94;42,11;3,65;4,75;7,16;0,522;5;0,80746871;2;3;0,575;0,309944586;3;4;28;12;8;
2-fm5;fm5;vitamin;23;05-sep;36;25,81;37,92;3,2;4,02;6,52;0,441;8;0,764060818;4;3;0,428;0,37732689;4;2;24;2;8;
2-fm6;fm6;vitamin;23;25-ago;35;28,83;42,59;3,19;4,38;7,82;0,648;19;0,928924488;3;2;0,68;0,320718765;4;4;35;0;7;
2-fm8;fm8;provitamin;20;19-ago;38;27,94;45,84;3,35;4,29;7,12;0,552;20;0,703857893;3;2;0,584;0,315044829;4;4;41;16;2;
2-fm9;fm9;vitamin;23;01-sep;39;25,66;48,09;3,35;4,81;6,94;0,537;5;0,673313791;2;3;0,477;0,448119727;3;2;28;2;8;
2-fm10;fm10;vitamin;20;23-ago;37;26,65;40,58;3,04;4,48;6,34;0,451;11;;2;2;0,609;0,447131954;4;3;37;0;4;
2-fm12;fm12;provitamin;18;23-ago;36;24,41;35,24;3,48;4,79;6,95;0,503;17;0,581567599;3;3;;;;;;;;
2-fm13;fm13;provitamin;25;23-ago;34;27,42;43,26;3,17;4,5;7,09;0,497;21;;;;0,609;0,3504503;4;4;37;0;7;
2-fm15;fm15;vitamin;25;02-sep;36;26,96;42,41;3,48;4,67;6,87;0,543;11;0,803871339;3;3;0,593;0,322786594;4;5;27;8;7;
2-fm20;fm20;Control;19;16-ago;36;27,25;44,89;3,25;4,6;6,97;0,469;22;;2;2;;0,214737627;3;1;44;8;6;
2-fm21;fm21;Control;20;22-ago;36;25,92;43,12;3,26;4,5;7,65;0,505;21;0,667699427;5;5;0,494;0,206610996;4;2;38;8;7;
2-fm22;fm22;Control;25;27-ago;37;25,58;39,1;3,04;4,18;7,04;0,494;17;;2;2;0,597;0,465706432;4;4;33;10;5;
2-fm23;fm23;Control;25;27-ago;37;27,05;39,21;3,34;4,38;7,01;0,485;17;;2;2;0,535;0,339178599;4;;33;8;8;
2-fm24;fm24;Control;23;02-sep;36;26,11;39,42;3,46;4,39;6,9;0,576;11;0,407385937;2;3;0,488;0,451402272;4;4;;;4;
2-fm25;fm25;Control;20;22-ago;36;27,44;42,8;3,27;3,95;6,83;0,523;21;0,619862264;4;0;0,527;0,319407899;4;3;38;4;8;
2-fm26;fm26;Control;21;04-sep;34;25,69;39,55;3,14;4,82;6,74;0,518;9;1,01902959;3;2;0,661;0,393943512;3;5;25;1;7;
2-fm27;fm27;Control;19;22-ago;36;26,08;38,91;3,22;4,24;6,84;0,51;22;0,840997456;2;3;0,661;0,306425;4;4;38;4;4;
2-fm28;fm28;Control;25;01-sep;35;26,05;35,18;3,3;3,55;7,04;0,536;5;0,725077464;4;3;0,427;0,357228202;3;4;28;0;6;
3-fm1;fm1;vitamin;25;02-sep;35;26,33;37,87;3,25;4,88;7,21;0,602;1;;2;1;;;;;;;;
3-fm2;fm2;provitamin;25;07-sep;38;;;;;;;;;;;;;;;;;;
3-fm4;fm4;provitamin;25;31-ago;37;28,54;38,17;3,62;4,6;7,33;0,546;3;0,540818236;2;4;0,724;0,429547867;4;5;29;4;4;
3-fm5;fm5;vitamin;23;04-sep;35;24,89;38,86;2,99;4,16;6,72;0,376;9;0,667198977;3;2;0,404;0,365266387;4;4;;;6;
3-fm6;fm6;vitamin;23;25-ago;35;28,21;44,41;3,26;4,66;7,2;0,54;12;0,65295867;4;4;0,624;0,217369799;4;0;35;0;1;
3-fm8;fm8;provitamin;20;18-ago;37;27,61;41,91;3,33;4,28;7,29;0,519;20;;2;2;;;;;42;0;3;
3-fm9;fm9;vitamin;23;31-ago;38;25,88;37,15;3,29;4,8;6,78;0,528;3;0,779129995;2;3;;0,513666912;4;;29;6;3;
3-fm10;fm10;vitamin;20;22-ago;36;26,01;43,88;3,24;4,31;6,72;0,496;22;0,913384412;3;4;0,579;0,348583584;4;4;38;6;7;
3-fm12;fm12;provitamin;18;24-ago;37;24,36;38,82;3,33;3,81;6,78;0,455;;;;;;;;;;;;
